Inventory ID (OPTIONAL),Artist Name ,Title ,Year ,Price ,Medium ,Materials ,Height ,Width ,Depth,Certificate of Authenticity ,Signature ,Classification 
KG-1266,Unknown Artist,A Prince and His Courtiers,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,6.0,4.0,,,,"Drawing, Collage or other Work on Paper"
KG-1267,Unknown Artist,Shaivite Devotee playing the Veena,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1268,Unknown Artist,Man in Turban,1701,800.0,Tempera on card,Tempera on card,,,,,,Painting
KG-1269,Unknown Artist,Ruler with Courtesans,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1270,Unknown Artist,Nobleman Smoking Hookah,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,11.0,7.0,,,,"Drawing, Collage or other Work on Paper"
KG-1271,Unknown Artist,Portrait of a Prince with a Purple Turban,1601,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1272,Unknown Artist,Portrait of the Master Sufi Al-Shaykh Abd Al-Qadir Al-jaylani,1801,18000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1273,Unknown Artist,Portrait of Dara Shikoh,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1274,Unknown Artist,"A painting of a Mughal Durbar (Royal Court), with Aurangzeb imprisoning his father, Shah Jahan",1901,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,7.0,5.0,,,,"Drawing, Collage or other Work on Paper"
KG-1275,Unknown Artist,The Emperor Farrukh-Siyar,1770,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1277,Unknown Artist,Lady and her Lover,1901,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,4.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1278,Unknown Artist,Portrait of a Court Official,1601,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,16.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1279,Unknown Artist,Emperor Aurungzeb leaving for the hunt,1800,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1280,Unknown Artist,Drawing of a Persian Nobleman,1801,,ink on paper,ink on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1281,Unknown Artist,Lady with Prayer beads,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1282,Unknown Artist,A painting of a Mughal noble lady,1850,,Painting,Painting,19.5,14.5,,,,Painting
KG-1283,Unknown Artist,Portrait of Leila Begum Smoking Hookah,1601,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1284,Unknown Artist,Image of Courtesan named Tuti Twaife from Zardan,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1285,Unknown Artist,Woman Holding a Lamp,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1286,Unknown Artist,Lady Dancing to Music,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1287,Unknown Artist,Leg Arm Lady,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1288,Unknown Artist,Female Musician Playing the Lute,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1291,Unknown Artist,Gandharan Head,301,,Gray schist,Gray schist,,,,,,Sculpture
KG-1292,Unknown Artist,Three studies of quail,1800,22000.0,Watercolor on watermarked paper,Watercolor on watermarked paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1293,Unknown Artist,Three folios of flora and fauna from the Louisa Parlby Album,1795,,Watercolor on paper,Watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1294,Unknown Artist,Six botanical paintings of fruit,1801,,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
