Inventory ID (OPTIONAL),Artist Name ,Title ,Year ,Price ,Medium ,Materials ,Height ,Width ,Depth,Certificate of Authenticity ,Signature ,Classification 
KG-1391,Unknown Artist,"Air India, Nandi (Fiji)",1964,,Poster,Poster,,,,,,Poster
KG-1392,Unknown Artist,Air India/Rome,1971,,Poster,Poster,,,,,,Poster
KG-1393,Unknown Artist,Air India/London,1971,,Poster,Poster,,,,,,Poster
KG-1394,Unknown Artist,Air India/Tokyo,,,Poster,Poster,,,,,,poster
KG-1396,Unknown Artist,Kali Trampling Shiva,1800,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1397,Unknown Artist,Leaf from the Bhagavata Purana,1700,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1398,Unknown Artist,Krishna with Attendants,1820,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1404,Unknown Artist,Need title,,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1411,Unknown Artist,Prince Begs for Forgiveness,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1412,Unknown Artist,Desvarati Ragini,1601,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1413,Unknown Artist,Two Ladies in a Courtyard,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1414,Unknown Artist,Deepak Ragini / Courting Scene,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1416,Unknown Artist,Ragini Ghandari (Set 7/7),1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1417,Unknown Artist,Raga Valabha (Set 5/7),1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1418,Unknown Artist,Ragini Shri Harshni (Set 2/7),1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1419,Unknown Artist,Raga Panchak (Set 6/7),1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1420,Unknown Artist,Raga Naboda (set 3/7),1819,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1421,Unknown Artist,Raga Kalyan (Set 1/6),1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1422,Unknown Artist,Raga Bhohaul (Set 4/7),1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1423,Unknown Artist,Leaf from a Ragamala,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1426,Unknown Artist,Dipak Raga: Illustration from a Ragamala Series,,,Gouache and gold on paper,Gouache and gold on paper,5.0,4.0,,,,"Drawing, Collage or other Work on Paper"
KG-1428,Unknown Artist,\[FAKE?\] A Prince on Horseback,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1432,Unknown Artist,Rama and Lakshmana in the Wilderness (style II),1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1433,Unknown Artist,The Demons Chanda and Manda in a Palace,1790,,Ink with gouache on paper,Ink with gouache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1434,Unknown Artist,Durga Battling the Demon Army,1790,,Ink on paper,Ink on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1435,Unknown Artist,Shiva and Parvati with a Goddess,1801,,Ink on paper,Ink on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1436,Unknown Artist,Preparatory Sketch for a Radha-Krishna Scene,,,Ink and light gouache,Ink and light gouache,,,,,,"Drawing, Collage or other Work on Paper"
KG-1437,Unknown Artist,Persian Diptych: Sultan Receiving Mullahs and Calligraphy Page,1401,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1438,Unknown Artist,Leaf from the Shahnameh,1601,,opaque watercolor on paper,opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1439,Unknown Artist,Tahmina Displays her Strength,1401,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1441,Unknown Artist,Man Attacked by a Bear,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
