kg_id,match_score,external_title,decision
KG-1272,100,Portrait of the Master Sufi Al-Shaykh Abd Al-Qadir Al-jaylani,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1692,100,Two Paithan paintings illustrating the Ramayana,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1008,100,A gray schist head of a bodhisattva,skipped: KG-# already enriched from earlier source
,0,Ardoksho,no match >= threshold
KG-1061,100,Yaksha,skipped: KG-# already enriched from earlier source
KG-1690,100,A silver-inlaid bronze figure of Ganesha,"merged: provenance,physical_location,acquired_from,publications_and_exhibitions,image.alternates"
KG-1080,98,A bronze figure of Sambandhar,"merged: provenance,physical_location,publications_and_exhibitions,image.alternates"
KG-1708,100,A bronze figure of Parvati,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1710,100,A bronze shrine of Tirthankara Anantanatha,"merged: provenance,physical_location,image.alternates"
KG-1713,100,A gilt-bronze figure of Kala Bhairava,"merged: provenance,physical_location,publications_and_exhibitions,image.alternates"
KG-1667,100,A silver figure of Vajrapani,skipped: KG-# already enriched from earlier source
KG-1715,100,Buddha Shakyamuni and the Thirty-five Buddhas of Confession,skipped: KG-# already enriched from earlier source
KG-1716,100,A bronze figure of Kala Jambhala,skipped: KG-# already enriched from earlier source
KG-1081,100,A small bronze figure of Vajrasattva,skipped: KG-# already enriched from earlier source
KG-1718,100,Abhayakaragupta,"merged: provenance,physical_location,acquired_from,publications_and_exhibitions,image.alternates"
KG-1667,100,Vajrapani,skipped: KG-# already enriched from earlier source
KG-1725,100,Amitayus,skipped: KG-# already enriched from earlier source
KG-1033,100,Vajradhara,skipped: KG-# already enriched from earlier source
KG-1090,100,Maitreya,skipped: KG-# already enriched from earlier source
KG-1081,100,Vajrasattva,skipped: KG-# already enriched from earlier source
KG-1704,100,Avalokiteshvara,"merged: provenance,publications_and_exhibitions,image.alternates"
KG-1733,100,Pala Padmapani,"merged: provenance,physical_location,image.alternates"
KG-1715,100,Shakyamuni,skipped: KG-# already enriched from earlier source
KG-1738,100,The Elder Arhat Kanakavatsa,skipped: KG-# already enriched from earlier source
KG-1712,100,Figure of Nandi,"merged: provenance,physical_location,image.alternates"
KG-1036,100,"Illustration to the ‘Large’ Guler-Basohli Bhagavata Purana: 
The Liberation of N",skipped: KG-# already enriched from earlier source
KG-1683,100,Portrait of a Woman with a Cat,skipped: KG-# already enriched from earlier source
KG-1748,100,"Two preparatory drawings, depicting an extensive battle scene, and a ploughing c","merged: provenance,acquired_from,image.alternates"
KG-2086,100,"An Illustration To A Mahabharata Series:
Vidura confers with Dhritharashtra
Attr","merged: physical_location,acquired_from"
KG-1397,100,"Leaf from the Bhagavata Purana: The Story of Creation
Varaha, the Boar Incarnati",skipped: KG-# already enriched from earlier source
KG-2147,96,Illustration to the Rasamanjari of Bhanu Dutta: The Intoxicated Courtesan,"merged: provenance,image.alternates"
KG-1438,100,A leaf from the Shahnameh,"merged: provenance,physical_location,image.alternates"
KG-1757,100,Drunken Prince Led to Bed,"merged: provenance,physical_location,image.alternates"
KG-1758,100,A Leaf from the Madhavanala Kamakandla,"merged: provenance,physical_location,image.alternates"
KG-1759,100,Bhagavata Purana: The Pandavas and Krishna Bathe in the Jamuna,"merged: physical_location,image.alternates"
KG-1397,100,An Illustration from the Bhagavata Purana: Krishna Slaying the Bull Demon (Arish,skipped: KG-# already enriched from earlier source
KG-1761,100,Blind Mans Buff,"merged: physical_location,image.alternates"
KG-1762,100,Leaf from the Devi Mahatmya: Durga in a Battle Against a Demon (Nishumbha),"merged: provenance,physical_location,acquired_from,publications_and_exhibitions,image.alternates"
KG-1764,100,Illustration to the Devi Mahatmya: The Beauty of Ambika,"merged: provenance,physical_location,image.alternates"
KG-1765,100,An Illustration to the Markandeya Purana: Ambika Reduces Dhumralochana to Ashes,"merged: provenance,physical_location,image.alternates"
KG-1523,100,Sajnu Kali,skipped: KG-# already enriched from earlier source
KG-1767,100,Illustration to a Harivamsa Series: Narada Warns Kamsa,"merged: provenance,physical_location,image.alternates"
KG-1397,100,Leaf from the Bhagavata Purana Depicting Vishnu and Garuda: The Liberation of Ga,skipped: KG-# already enriched from earlier source
,0,A Leaf from the Hamir Hath,no match >= threshold
KG-1100,100,Rama and Sita Enthroned,skipped: KG-# already enriched from earlier source
KG-1772,98,Rada and Krishna watching Nautch,"merged: provenance,physical_location,image.alternates"
KG-1774,100,Love-Lorn Lady,"merged: physical_location,image.alternates"
KG-1776,100,Lakshmi massaging the foot of Vishnu,"merged: provenance,physical_location,image.alternates"
KG-1779,100,Krishna shares a drink with Radha,"merged: provenance,physical_location,image.alternates"
KG-1311,100,Krishna & Radha / Illustration to a Baramasa Series: The Month of Pausha (Mid De,"merged: physical_location,image.alternates"
KG-1782,100,Krishna Paying Homage to Radha,"merged: provenance,physical_location,image.alternates"
KG-1783,100,Krishna on the Road to Kundinapura: A folio from a Rukmini Harana Series,"merged: physical_location,image.alternates"
KG-1784,100,The Elephant Meghabaran Goes on a Rampage,"merged: provenance,physical_location,image.alternates"
KG-1786,100,Women at a Water Well,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1121,100,Maharao Ram Singh of Bundi Holding a Blossom,matched-but-nothing-new
KG-1030,100,Maharao Ram Singh II of Kotah & Maharao Ram Singh of Bundi,matched-but-nothing-new
KG-1124,100,Maharao Ram Singh II Taming a Black Buck,matched-but-nothing-new
KG-1026,100,Maharana Ari Singh Riding in a Procession to Jagan Nath,matched-but-nothing-new
KG-1140,100,A Portrait of the Stallion Sitaraj,matched-but-nothing-new
KG-1142,100,Maharana Bhim Singh Riding a Caparisoned Elephant,matched-but-nothing-new
KG-1078,100,A Raja and His Courtiers Playing Chaupar,skipped: KG-# already enriched from earlier source
KG-1203,100,Portrait of Mian Avalia,matched-but-nothing-new
KG-1204,100,Portrait of Tholu Sanyal,matched-but-nothing-new
KG-1134,100,Prince Thata Singh in a Hunting Procession,matched-but-nothing-new
KG-1207,100,Maharaja Kailash Pal of Nurpur,matched-but-nothing-new
KG-1198,100,Dev Singh of Mandi,matched-but-nothing-new
KG-1067,100,Aurangzeb in Court,skipped: KG-# already enriched from earlier source
KG-1247,100,Shah Jahan at a Jarokha Window,skipped: KG-# already enriched from earlier source
KG-1250,100,Khalifah Sayyid Ahmad Lies Dead,matched-but-nothing-new
KG-1189,100,A Nobleman Holding a Hunting Falcon,matched-but-nothing-new
KG-1681,100,A Portrait of Mian Hadala Pal,matched-but-nothing-new
KG-1190,100,Raja Prakash Chand of Guler Smoking (Check inscription),matched-but-nothing-new
KG-1933,100,Sayyid Hussein Ali (Firoz Jang) Speaking to Courtiers,matched-but-nothing-new
KG-1211,100,Sayyid Hasan Ali Receives a Minister,matched-but-nothing-new
KG-1179,100,A Maiden with an Open Book,matched-but-nothing-new
KG-1193,100,A Shaivite Yogi Plucks a Veena,matched-but-nothing-new
KG-1006,100,A Buff Sandstone Torso of  Vishnu,skipped: KG-# already enriched from earlier source
KG-2024,100,A gray schist head of Boddhisattva,skipped: KG-# already enriched from earlier source
KG-1007,100,A stucco hand of Buddha,skipped: KG-# already enriched from earlier source
KG-1016,96,A Grey Schist Figure of a seated Boddhisattva,skipped: KG-# already enriched from earlier source
,0,A gray schist frieze with three  Boddhisattva,no match >= threshold
KG-1017,100,A Green Schist Figure of a Standing Attendant,skipped: KG-# already enriched from earlier source
,0,A Gray Schist Relief of Panchika and Hariti,skipped: SOLD flag set in curator sheet
KG-1794,100,Mahakala Shadbhuja,skipped: KG-# already enriched from earlier source
KG-1018,100,Indian clay figures,skipped: KG-# already enriched from earlier source
KG-1086,100,Two Brass Figures of Venugopala and Radha,matched-but-nothing-new
KG-1011,100,A great Indian fruit bat (flying fox),"merged: publications_and_exhibitions,image.alternates"
