work_id,missing_core,missing_artsy_required,core_completeness_pct,missing_fields
KG-1957,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1958,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1959,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1960,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1961,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1962,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1963,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1964,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1965,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1966,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1967,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1968,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1969,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1970,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1972,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1973,3,1,66.7,"artist,width_in,primary_image_url"
KG-1974,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1975,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1976,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1977,4,1,55.6,"artist,year,primary_image_url,price_usd"
KG-1978,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1979,6,2,33.3,"artist,medium,height_in,width_in,primary_image_url,price_usd"
KG-1980,6,2,33.3,"artist,medium,height_in,width_in,primary_image_url,price_usd"
KG-1981,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1982,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1983,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1984,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1985,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1986,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1987,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1988,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1990,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1991,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1992,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1993,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1994,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1995,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1996,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1997,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1998,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1999,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-2000,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2001,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2002,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2005,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2006,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-2007,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-2008,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2009,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2010,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2011,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2012,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2013,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2014,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2015,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2016,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2017,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2018,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2019,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2020,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2021,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2022,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2023,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2024,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2025,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2026,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2027,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2028,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-2029,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-2030,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-2031,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2032,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2033,6,3,33.3,"artist,classification,medium,height_in,width_in,primary_image_url"
KG-2034,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-2035,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-2036,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-2037,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-2038,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-2039,4,1,55.6,"artist,year,primary_image_url,price_usd"
KG-2040,4,1,55.6,"artist,year,primary_image_url,price_usd"
KG-2041,4,1,55.6,"artist,year,primary_image_url,price_usd"
KG-2042,4,1,55.6,"artist,year,primary_image_url,price_usd"
KG-2043,4,1,55.6,"artist,year,primary_image_url,price_usd"
KG-2044,4,1,55.6,"artist,year,primary_image_url,price_usd"
KG-2045,3,1,66.7,"artist,primary_image_url,price_usd"
KG-2046,6,2,33.3,"artist,year,medium,height_in,width_in,primary_image_url"
KG-2047,5,1,44.4,"artist,year,height_in,width_in,primary_image_url"
KG-2048,5,1,44.4,"artist,year,height_in,width_in,primary_image_url"
KG-2049,5,1,44.4,"artist,year,height_in,width_in,primary_image_url"
