j,Image,Title,Origin,Date,Medium ,Dimensions,Physical Location,File Location,Acquired From,Literature & Exhibited,Provenance,Essay Writtenn( Yes/No),
2019,,"An illustration to a Rasikapriya series:
Radha, seated in a pavilion, visited by a female companion dressed as a boy",Kangra,C. 1820,Gouache heightened with gold on prepared paper,11 x 7 ½ in. (28 x 19 cm.),Drawer 8,76 - Illustration to a Rasikapriya Series,,,"Collection of the late Pearl King (1918-2015).
Probably acquired from Maggs Bros or Sotheby's London from the 1960’s onwards (based on communication).
 ",,
2021,,Illustration from the Ramayana,Nepal,18th century,Opaque watercolor heightened with gold on paper,8 x 11 ¾ in. (20.3 x 29.8 cm.),"Tibet Nepal Drawer, Drawer 14",Illustration from the Ramayana,"Material Culture, 5/5/19, lot 59",,Doris Weiner Gallery (label on frame),,
2022,,Illustration to the Ramayana: Rama and Sita Enthroned,Basohli,circa 1730,Opaque watercolor heightened with gold on paper,,Drawer 8,Illustration to the Ramayana: Rama and Sita Enthroned,,,,,
,,A leaf from the ‘Second’ Guler Ramayana series: Rama and His Allies Take Counsel ,"Guler, First Generation after Nainsukh and Manaku",circa 1790,Opaque watercolor heightened with gold on paper,"Image: 8 x 12 in. (20.3 x 30.5 cm.)
Folio: 10 x 13 7/8 in. (25.4 x 35.3 cm.)","clsoet, framed, B2",19 - Leaf from the Ramayana: Rama and his Allies Take Counsel,Gary Crawford,,"Private collection, California. 
Christie’s, London, 8 July 1982, lot 144.
Forge and Lynch
Kapoor
Gary Crawford
Kapoor",,
2021,,Two illustrations from the Ramayana: Sita in Ravana’s Palace,Mewar,early 18th century,Opaque watercolor heightened with gold on paper,Image: 8 3/4 x 15 in. (22.2 x 38.1 cm.),Gallery 4/28,Leaf from the Ramayana,"Skinner 3/22/19, lot 452",Doris Weiner Gallery P.1899,Purchased in the US in 1972 and descended in the Steig family,,
2022,,Illustration to a Ragamala series: Kakubha Ragini,"Rajasthan, possibly Gwalior/Raghugarh",1780 – 1800,Opaque watercolor heightened with gold on paper,Image 7 7/8 x 4 3/8 in.,,Illustration to a Ragamala series: Kakubha Ragini,,,"Doris Wiener Gallery, acquired 1/27/76.Rubin-Ladd Foundation no. I-1415-2, 2015-present.",,
2019,,Illustration to a Ragamala Series: Kakubha Ragini,Jaipur,19th century,Opaque watercolor heightened with gold on paper,6 ¾ x 4 ⅓ in. (17 x 11 cm.),"Framed,
closet, B2",74 - Illustration to a Ragamala Series: Kakubha Ragini  / Radha Feeding Peacocks,"Millon, 12/3/18, lot 305",,From a Private French Collection.,,
,,A Prince with a Falcon,Kishangarh,18th century,Opaque watercolor heightened with gold on paper,9 x 5 3/4 in. (22.9 x 14.6 cm.),"closet, framed, A2",11- Portrait of a Prince with a Falcon,"Rago 4/14/19, lot 1001",,"The Collection of Helen and Joe Darion, New York, by February 1968 (no. 41).",,
,,"Shiva as Tripurantaka, The Destroyer of Tripura ",Mandi,circa 1750-1780,Opaque watercolor heightened with gold on paper,"Image: 7 3/8 x 9 5/8 in. (18.6 x 24.3 cm.)
Folio: 9 x 11 ½ in. (22.9 x 29.2 cm.)","Framed,
gallery",15 - Shiva as Tripurantaka,"Christie's 3/20/19, lot 698",,Royal Mandi Collection. The estate of Carol Summers (1925-2016).,,
2022,,vajradhara,Tibet,15th century,Gilt-bronze,9 ¾ in. (24.8 cm.) high,glass case ,11 - Vajradhara (Large),,"Himalayan Art Resources (himalayanart.org), item no. 8375.","The collection of Engineer Holger Rosell (1917-2009), Stockholm.
With the National Museum Prins Eugens Waldemarsudde, Stockholm.
Uppsala Auktionskammare, 5 December 2014, lot 1001.
",,
